iter	MultiClass
0	1.031014296
1	0.9752727929
2	0.9290875322
3	0.8909917539
4	0.8586668627
5	0.8313709022
6	0.8075853661
7	0.7864583013
8	0.7678721584
9	0.751968535
10	0.7373949341
11	0.724545299
12	0.7130519235
13	0.7030978092
14	0.6947095895
15	0.6865669765
16	0.6788446696
17	0.6718809382
18	0.6652853859
19	0.65968645
20	0.6545565484
21	0.6498450893
22	0.6456718519
23	0.6419151618
24	0.6382848292
25	0.6342292087
26	0.6308400249
27	0.6280061168
28	0.6255703303
29	0.6230798184
30	0.6200876767
31	0.6177088269
32	0.6154226959
33	0.6134396962
34	0.6111981446
35	0.60949269
36	0.6075223787
37	0.6057763643
38	0.604509351
39	0.6036344505
40	0.6018395486
41	0.600739655
42	0.5995926507
43	0.5978399085
44	0.5963227745
45	0.595057875
46	0.5939336534
47	0.5928068622
48	0.5921848374
49	0.5909937386
50	0.5899466385
51	0.5885177206
52	0.5869910751
53	0.5861457471
54	0.5851830525
55	0.5842292186
56	0.5831647762
57	0.5821802954
58	0.5810638438
59	0.5803760652
60	0.5790693588
61	0.5784458301
62	0.5774997141
63	0.5766605129
64	0.5758422666
65	0.5752181436
66	0.5746296352
67	0.5739683019
68	0.5732990691
69	0.572641186
70	0.5717306424
71	0.5708440881
72	0.5697520429
73	0.5682253742
74	0.5676967444
75	0.5671260584
76	0.5666376221
77	0.5661431798
78	0.5654865772
79	0.5649981046
80	0.5640650345
81	0.5636137713
82	0.5626434812
83	0.5619388583
84	0.5610790104
85	0.5605335418
86	0.5600388043
87	0.5594470363
88	0.5588773259
89	0.5582727951
90	0.5577293232
91	0.5570638753
92	0.5564592575
93	0.555634488
94	0.5552287813
95	0.5544824574
96	0.5540358631
97	0.5535151217
98	0.5531674559
99	0.552910677
100	0.5523333581
101	0.5517920717
102	0.5509915868
103	0.550212121
104	0.5497684151
105	0.5493473478
106	0.5488990956
107	0.5480254464
108	0.547532797
109	0.547032128
110	0.5468270788
111	0.5462848781
112	0.5454451323
113	0.5448070076
114	0.5442409511
115	0.5438873683
116	0.5434523093
117	0.5431788282
118	0.5428343016
119	0.5424521037
120	0.5420857456
121	0.5416256712
122	0.5406866863
123	0.5399863597
124	0.5395499134
125	0.5390403601
126	0.5386433998
127	0.5382857081
128	0.5378976012
129	0.5373039968
130	0.5367297694
131	0.5362421989
132	0.5359779007
133	0.5356488414
134	0.5353424218
135	0.535019034
136	0.5345438599
137	0.5341316506
138	0.5335398165
139	0.5328536964
140	0.5323109237
141	0.5320205994
142	0.5317095207
143	0.5313844766
144	0.5309420425
145	0.5306167625
146	0.5302533909
147	0.5298528068
148	0.529282768
149	0.5289294916
150	0.5284079325
151	0.5281783259
152	0.5278884107
153	0.5270555702
154	0.526831529
155	0.5259286968
156	0.5256812656
157	0.5249788979
158	0.5244540548
159	0.5241721028
160	0.523899298
161	0.5232992244
162	0.5229217161
163	0.5226401275
164	0.5223176771
165	0.5220770923
166	0.5216175918
167	0.5210535684
168	0.5207154815
169	0.5202857273
170	0.5198841981
171	0.519648159
172	0.5194031701
173	0.5189151541
174	0.5185226828
175	0.5179492369
176	0.5176339831
177	0.5172649845
178	0.5169976967
179	0.5163759094
180	0.516176536
181	0.5158176779
182	0.5155066816
183	0.5151793061
184	0.5146483539
185	0.5140884099
186	0.5138381343
187	0.5132936355
188	0.5130073226
189	0.5124043968
190	0.512038354
